service_date,route_id,direction_id,half_trip_id,stop_id,time_point_id,time_point_order,point_type,standard_type,scheduled,actual,scheduled_headway,headway,fromFile,day,stop_name,delay_mins
2021-11-04,64,Inbound,53490711,1110,union,2,Midpoint,Schedule,1900-01-01T08:06:00Z,1900-01-01T08:07:45Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,1.75
2021-11-04,64,Inbound,53490697,1214,oaksq,1,Startpoint,Schedule,1900-01-01T08:09:00Z,1900-01-01T08:09:20Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,0.33
2021-11-04,64,Inbound,53490703,2231,kndl,5,Endpoint,Schedule,1900-01-01T08:10:00Z,1900-01-01T07:51:53Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,-18.12
2021-11-04,64,Inbound,53490706,1059,cntsq,4,Midpoint,Schedule,1900-01-01T08:12:00Z,1900-01-01T08:11:35Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-0.42
2021-11-04,64,Inbound,53490711,1116,alrmp,3,Midpoint,Schedule,1900-01-01T08:17:00Z,1900-01-01T08:14:11Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,-2.82
2021-11-04,64,Inbound,53490697,1110,union,2,Midpoint,Schedule,1900-01-01T08:22:00Z,1900-01-01T08:22:08Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,0.13
2021-11-04,64,Inbound,53490711,1059,cntsq,4,Midpoint,Schedule,1900-01-01T08:28:00Z,1900-01-01T08:18:26Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-9.57
2021-11-04,64,Inbound,53490706,2231,kndl,5,Endpoint,Schedule,1900-01-01T08:28:00Z,1900-01-01T08:21:47Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,-6.22
2021-11-04,64,Inbound,53490700,1214,oaksq,1,Startpoint,Schedule,1900-01-01T08:32:00Z,1900-01-01T08:32:05Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,0.08
2021-11-04,64,Inbound,53490697,1116,alrmp,3,Midpoint,Schedule,1900-01-01T08:33:00Z,1900-01-01T08:30:21Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,-2.65
2021-11-04,64,Inbound,53490697,1059,cntsq,4,Midpoint,Schedule,1900-01-01T08:44:00Z,1900-01-01T08:34:24Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-9.6
2021-11-04,64,Inbound,53490711,2231,kndl,5,Endpoint,Schedule,1900-01-01T08:44:00Z,1900-01-01T08:34:13Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,-9.78
